# referencia de ruido: PSD promedio de los archivos de Datos/Ruido (Welch, notch 60Hz)
freq_hz,psd_medio
37.5,1.8687834837467291e-06
38.0,1.671504793157961e-06
38.5,1.5543874028125491e-06
39.0,1.638277270151236e-06
39.5,3.819495844153634e-06
40.0,8.981111288890854e-06
40.5,3.3600320243939514e-06
41.0,1.4981395657655337e-06
41.5,1.4604272278580715e-06
42.0,1.494949823467353e-06
42.5,1.6317253182314176e-06
43.0,2.2689222468649918e-06
43.5,2.1773679189765015e-06
44.0,1.4349455068316575e-06
44.5,1.2947479773489906e-06
45.0,1.2844853901392974e-06
45.5,1.3094708413424464e-06
46.0,1.363074876758057e-06
46.5,1.903596765251028e-06
47.0,1.6824339269472937e-06
47.5,1.2889386185461215e-06
48.0,1.270181695532445e-06
48.5,1.3004343957926642e-06
49.0,1.4039970130765414e-06
49.5,3.0191135706509397e-06
50.0,7.266621449070141e-06
50.5,2.827567961025789e-06
51.0,1.3477073655377399e-06
51.5,1.163065672290472e-06
52.0,1.1251238462027949e-06
52.5,1.1099030085032448e-06
53.0,1.1757184584864928e-06
53.5,1.1334794807738088e-06
54.0,1.0166226123281764e-06
54.5,1.009601850914379e-06
55.0,9.410801553188886e-07
55.5,9.101143560144499e-07
56.0,8.948268977453924e-07
56.5,9.094466570764299e-07
57.0,7.975599746650723e-07
57.5,6.952833666574145e-07
58.0,5.868159747318028e-07
58.5,4.436858343072667e-07
59.0,2.3060884339992902e-07
59.5,6.117702903318056e-08
60.0,9.91589314824751e-09
60.5,6.186368355524098e-08
61.0,2.2084344398825823e-07
61.5,4.122930878136408e-07
62.0,5.896612481531123e-07
62.5,7.874460121891505e-07
63.0,7.478059378095711e-07
63.5,7.494637576485134e-07
64.0,7.60527452634288e-07
64.5,7.986713694505734e-07
65.0,8.164019823940601e-07
65.5,8.231906022373278e-07
66.0,8.514812218816932e-07
66.5,9.180891561771465e-07
67.0,8.817135400540589e-07
67.5,8.758138497419591e-07
68.0,9.93297346746678e-07
68.5,8.98016462740607e-07
69.0,8.674473029032548e-07
69.5,2.236683316103776e-06
70.0,5.9508779965048285e-06
70.5,2.1486132338129057e-06
71.0,8.20585472697412e-07
71.5,7.913503075574514e-07
72.0,8.02523787283458e-07
72.5,8.642857326757119e-07
73.0,1.0200417315569166e-06
73.5,9.851914482067171e-07
74.0,8.811284781510468e-07
74.5,9.072131887332713e-07
75.0,1.0583407063303216e-06
75.5,9.05199143304532e-07
76.0,8.808863732006235e-07
76.5,9.82948112094404e-07
77.0,9.090703436239857e-07
77.5,7.586156561792328e-07
78.0,7.398197133985895e-07
78.5,7.317260263341349e-07
79.0,7.612602918599494e-07
79.5,1.4911745393538248e-06
80.0,3.294681215400652e-06
80.5,1.467570407381229e-06
81.0,7.757162170268552e-07
81.5,7.277213838963979e-07
82.0,6.955265183582012e-07
82.5,7.423341415964376e-07
83.0,9.128520138842436e-07
83.5,8.582015359406946e-07
84.0,7.141397847638671e-07
84.5,6.804551722644105e-07
85.0,7.006040410634398e-07
85.5,7.115557128189782e-07
86.0,7.183659378484605e-07
86.5,9.839209982521619e-07
87.0,8.882936001405662e-07
87.5,7.448424650252934e-07
88.0,7.21222866737314e-07
88.5,6.870913085749736e-07
89.0,7.092884934967957e-07
89.5,1.1631901688548926e-06
90.0,2.1566874850437063e-06
90.5,1.0646927079603463e-06
91.0,6.675017928998511e-07
91.5,6.534053028112154e-07
92.0,6.531663322773352e-07
92.5,6.801243520260557e-07
93.0,8.674419313635597e-07
93.5,8.872483862342458e-07
94.0,6.895297018865986e-07
94.5,6.471486522517396e-07
95.0,6.401974534925749e-07
95.5,6.647678786905116e-07
96.0,7.292217132282241e-07
96.5,9.033968209649516e-07
97.0,8.144707488003134e-07
97.5,6.866279532920901e-07
98.0,6.948358536401281e-07
98.5,6.861014403994309e-07
99.0,8.069369758837699e-07
99.5,1.7502009646442855e-06
100.0,3.369035647014261e-06
100.5,1.401274877720211e-06
101.0,7.424225211325382e-07
101.5,7.225728974117546e-07
102.0,7.091987280142111e-07
102.5,7.660914982844507e-07
103.0,9.744015826616369e-07
103.5,9.359980033725452e-07
104.0,7.149273424041301e-07
104.5,8.793134288266889e-07
105.0,1.4720447070161564e-06
105.5,1.0219089651841845e-06
106.0,7.551740197362476e-07
106.5,1.0511963262758234e-06
107.0,8.936272723644759e-07
107.5,6.753619881641732e-07
108.0,6.73757643563192e-07
108.5,7.027160368210317e-07
109.0,8.553443649787359e-07
109.5,2.1043037329194296e-06
110.0,4.6163225271215774e-06
110.5,1.7469161819662582e-06
111.0,7.203159420948433e-07
111.5,6.94059909190399e-07
112.0,7.614179689112662e-07
112.5,7.843177470444107e-07
113.0,9.211056912244773e-07
113.5,8.792827576937842e-07
114.0,6.609422430192277e-07
114.5,6.060088316951236e-07
115.0,5.680762297463519e-07
115.5,5.518984371750421e-07
116.0,5.609513941306918e-07
116.5,6.521287885557699e-07
117.0,4.96793089409721e-07
117.5,3.031098421965152e-07
118.0,2.2153284086668446e-07
118.5,1.2898597351406808e-07
119.0,5.202621156773773e-08
119.5,1.2124327116493541e-08
120.0,1.86537459865272e-09
120.5,1.1343326796905269e-08
121.0,5.1255168173088204e-08
121.5,1.3223317891276922e-07
122.0,2.673337124173311e-07
122.5,3.665711738011688e-07
123.0,5.750710639206934e-07
123.5,6.189954251799269e-07
124.0,5.395277458740507e-07
124.5,5.859253177041984e-07
125.0,7.389639598129363e-07
125.5,6.800315032516398e-07
126.0,7.42997412299839e-07
126.5,1.0848071248807546e-06
127.0,9.020878696623499e-07
127.5,6.73784154756991e-07
128.0,7.092047291813549e-07
128.5,7.293895804406754e-07
129.0,7.890391210783255e-07
129.5,1.6904563559302204e-06
130.0,3.707707016611928e-06
130.5,1.5116950701375833e-06
131.0,7.538624231641147e-07
131.5,7.104248414295757e-07
132.0,6.950279297760734e-07
132.5,7.777928901529873e-07
133.0,1.0470211895549618e-06
133.5,1.0057590417456701e-06
134.0,7.322158584679912e-07
134.5,6.600555190285703e-07
135.0,6.545192260329966e-07
135.5,6.739116774727722e-07
136.0,7.538368160141385e-07
136.5,1.1667511540181503e-06
137.0,1.0339950578101772e-06
137.5,7.46610020830959e-07
138.0,6.78102119686326e-07
138.5,7.070204052852917e-07
139.0,7.879977430416808e-07
139.5,1.6747601079288742e-06
140.0,3.275297279145225e-06
140.5,1.4257501193379911e-06
141.0,7.42144917442614e-07
141.5,6.744682894971211e-07
142.0,6.456016020099021e-07
142.5,7.283709416232824e-07
143.0,1.0964815161344712e-06
143.5,1.0437831394426181e-06
144.0,6.781457220482008e-07
144.5,6.110583420663817e-07
145.0,6.188745347645864e-07
145.5,6.326423957426405e-07
146.0,6.969531410859769e-07
146.5,1.034444039514225e-06
147.0,9.020687254867662e-07
147.5,6.0886906355094e-07
148.0,5.843892033830551e-07
148.5,5.929562367455952e-07
149.0,6.569989534590878e-07
149.5,1.3731911271812305e-06
150.0,2.7246805798391986e-06
150.5,1.113246639599447e-06
151.0,5.836867465464624e-07
151.5,5.701460890735011e-07
152.0,5.785732383033485e-07
152.5,6.285707877471032e-07
153.0,8.524630273654764e-07
153.5,8.602282483331563e-07
154.0,5.943181200316554e-07
154.5,5.528373937054618e-07
155.0,5.627302484483851e-07
155.5,5.684734570250233e-07
156.0,6.102677804513543e-07
156.5,7.894923648249294e-07
157.0,7.096384315341518e-07
157.5,5.486413100368099e-07
158.0,5.290024482468125e-07
158.5,5.420702567457036e-07
159.0,6.052672525417394e-07
159.5,1.7957483615931033e-06
160.0,4.332387570928468e-06
160.5,1.4789048303136024e-06
161.0,5.373211464860699e-07
161.5,5.113477423234654e-07
162.0,5.175527481654568e-07
162.5,5.766774907410252e-07
163.0,6.629372962695645e-07
163.5,6.601459748404384e-07
164.0,5.157193589108966e-07
164.5,4.738131117189976e-07
165.0,4.5637316418351476e-07
165.5,4.6511291178930287e-07
166.0,4.972726094013563e-07
166.5,6.45237940192454e-07
167.0,6.106352486586651e-07
167.5,4.803431100563179e-07
168.0,4.820342287098148e-07
168.5,4.810462409905085e-07
169.0,5.195969094348436e-07
169.5,3.1915771651712007e-06
170.0,9.395439188880356e-06
170.5,2.7368224491691256e-06
171.0,5.113302536505838e-07
171.5,4.960920618650607e-07
172.0,5.256744106780351e-07
172.5,5.137130215330605e-07
173.0,6.074015732214506e-07
173.5,6.21179559600478e-07
174.0,5.173551333854089e-07
174.5,4.783509972580167e-07
175.0,5.028149352879602e-07
175.5,4.3604134898203163e-07
176.0,3.6770430573326254e-07
176.5,3.2692424693514906e-07
177.0,2.5905418818980355e-07
177.5,1.720922297143371e-07
178.0,1.0734764294933538e-07
178.5,5.44398509668845e-08
179.0,1.9710699729383926e-08
179.5,4.1932836502483835e-09
180.0,8.60882155697881e-10
180.5,3.976801555197587e-09
181.0,1.8648903499039072e-08
181.5,5.280617171386246e-08
182.0,1.0693383077181227e-07
182.5,1.7121691883308966e-07
183.0,2.612385799387965e-07
183.5,3.329892865141359e-07
184.0,3.65723180509701e-07
184.5,4.082423933186142e-07
185.0,4.4173508831957834e-07
185.5,4.613058298843451e-07
186.0,5.12618551730383e-07
186.5,6.333678760354942e-07
187.0,6.080144069329871e-07
187.5,5.501045214536478e-07
188.0,5.380083262167559e-07
188.5,5.104594317144895e-07
189.0,5.590887747849856e-07
189.5,3.3447965334856164e-06
190.0,9.50529230954242e-06
190.5,2.5528232955294535e-06
191.0,4.947106222210121e-07
191.5,4.5719096027019776e-07
192.0,4.593921624538982e-07
192.5,4.914946730550252e-07
193.0,6.132104984981609e-07
193.5,6.040666951492042e-07
194.0,4.775374132554245e-07
194.5,4.4638164282549637e-07
195.0,4.384387133216581e-07
195.5,4.530475561603827e-07
196.0,4.839709854449101e-07
196.5,6.416102600262888e-07
197.0,6.137552395409707e-07
197.5,4.973544911133209e-07
198.0,4.947421935878515e-07
198.5,5.055771460162672e-07
199.0,5.80645751302786e-07
199.5,1.8860480382909162e-06
200.0,4.377972615838864e-06
200.5,1.4739037307091008e-06
201.0,5.499154644424287e-07
201.5,5.085943359750754e-07
202.0,4.986384492397166e-07
202.5,5.384875136919696e-07
203.0,6.616853884039757e-07
203.5,6.172868787318701e-07
204.0,4.977914198419681e-07
204.5,4.819561592783549e-07
205.0,5.007356165773923e-07
205.5,5.565666074082956e-07
206.0,6.110290017956664e-07
206.5,7.519247309822145e-07
207.0,6.472283095316433e-07
207.5,4.968313579035242e-07
208.0,4.985477246705043e-07
208.5,5.081654613153203e-07
209.0,5.875586492092142e-07
209.5,1.410342684389901e-06
210.0,3.148824041340063e-06
210.5,1.1384206398487719e-06
211.0,5.055610952477538e-07
211.5,4.8860515163063e-07
212.0,5.176674461192076e-07
212.5,6.041057471829152e-07
213.0,7.33755961139576e-07
213.5,7.042302406093538e-07
214.0,5.181431562397278e-07
214.5,5.042472808074651e-07
215.0,5.110294486631879e-07
215.5,5.075209046731476e-07
216.0,5.417085617459959e-07
216.5,7.020855956812376e-07
217.0,6.54900077044774e-07
217.5,5.158317581451802e-07
218.0,5.083902058072627e-07
218.5,5.51510394036138e-07
219.0,6.372308377901433e-07
219.5,1.2802025626992761e-06
220.0,2.591061924729135e-06
220.5,1.1131789211743919e-06
221.0,5.547318856539585e-07
221.5,5.06607095004644e-07
222.0,5.167340236629581e-07
222.5,5.77578329595492e-07
223.0,7.062569743999267e-07
